Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2020,Jan,66.6,64.8,3763790,3657139,106651,2.8
2020,Feb,66.4,64.5,3747222,3642616,104606,2.8
2020,Mar,66,64.2,3728887,3627179,101708,2.7
2020,Apr,60.4,50.5,3409863,2851481,558382,16.4
2020,May,63.9,54.1,3609060,3056433,552627,15.3
2020,Jun,65.2,55.6,3683679,3138699,544980,14.8
2020,Jul,63.1,56.9,3563106,3213230,349876,9.8
2020,Aug,64,58,3614444,3277606,336838,9.3
2020,Sep,64.7,59,3655222,3330763,324459,8.9
2020,Oct,65.3,59.7,3688327,3373320,315007,8.5
2020,Nov,65.9,60.3,3721554,3408246,313308,8.4
2020,Dec,66.5,60.9,3753070,3438583,314487,8.4
2021,Jan,66.5,61.3,3756720,3461950,294770,7.8
2021,Feb,66.3,61.6,3740812,3477886,262926,7
2021,Mar,66.3,61.9,3744412,3492255,252157,6.7
2021,Apr,66.4,62.1,3745672,3504836,240836,6.4
2021,May,65.6,62.4,3702078,3518551,183527,5
2021,Jun,65.5,62.3,3696738,3516227,180511,4.9
2021,Jul,65.6,62.4,3701567,3521149,180418,4.9
2021,Aug,65.7,62.5,3709495,3524102,185393,5
2021,Sep,65.9,62.5,3720738,3527841,192897,5.2
2021,Oct,66.0(P),62.6(P),3726330(P),3529395(P),196935(P),5.3(P)
